기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2623078000,부산진구 범천2동,60대이상,56260683,1479
202512,2626051000,동래구 수민동,20대,21835738,1150
202512,2626051000,동래구 수민동,20대미만,2601912,178
202512,2626051000,동래구 수민동,30대,193472670,2171
202512,2626051000,동래구 수민동,40대,296661959,3153
202512,2626051000,동래구 수민동,50대,232414087,4330
202512,2626051000,동래구 수민동,60대이상,356294808,7834
202512,2626052000,동래구 복산동,20대,3732157,228
202512,2626052000,동래구 복산동,20대미만,409139,35
202512,2626052000,동래구 복산동,30대,11198017,397
202512,2626052000,동래구 복산동,40대,29507847,578
202512,2626052000,동래구 복산동,50대,25656828,815
202512,2626052000,동래구 복산동,60대이상,52644464,1381
202512,2626054500,동래구 명륜동,20대,102014594,3660
202512,2626054500,동래구 명륜동,20대미만,10323865,664
202512,2626054500,동래구 명륜동,30대,154344621,4166
202512,2626054500,동래구 명륜동,40대,238520645,5163
202512,2626054500,동래구 명륜동,50대,250415036,5344
202512,2626054500,동래구 명륜동,60대이상,345937272,6943
202512,2626055000,동래구 온천1동,20대,57677116,2851
202512,2626055000,동래구 온천1동,20대미만,4073330,312
202512,2626055000,동래구 온천1동,30대,136021056,4601
202512,2626055000,동래구 온천1동,40대,192994978,5311
202512,2626055000,동래구 온천1동,50대,226956062,5794
202512,2626055000,동래구 온천1동,60대이상,329811628,8208
202512,2626056000,동래구 온천2동,20대,39197794,1424
202512,2626056000,동래구 온천2동,20대미만,3434607,212
202512,2626056000,동래구 온천2동,30대,123029485,2862
202512,2626056000,동래구 온천2동,40대,208553182,3977
202512,2626056000,동래구 온천2동,50대,190093507,3785
202512,2626056000,동래구 온천2동,60대이상,279945751,4919
202512,2626057000,동래구 온천3동,20대,31736270,1795
202512,2626057000,동래구 온천3동,20대미만,2171635,190
202512,2626057000,동래구 온천3동,30대,71104949,2418
202512,2626057000,동래구 온천3동,40대,102395210,2744
202512,2626057000,동래구 온천3동,50대,130846523,3408
