관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
TOU014,관광,21년 관광지 해수욕장A권역 내국인 신용카드 신한카드21년_관광지_해수욕장A권역_내국인_신용카드_신한카드,X,X,X,O,O,202101~202105,9,해수욕장_권역 / 개인_법인_구분 / 성별_코드 / 연령대_코드 / 유입지_시도_이름 / 유입지_시군구_이름 / 업종대분류_이름 / 시스템_최종적재_일시 / 기준년월일
TOU015,관광,21년 관광지 해수욕장B권역 내국인 신용카드 신한카드21년_관광지_해수욕장B권역_내국인_신용카드_신한카드,X,X,X,O,O,202101~202105,9,해수욕장_권역 / 개인_법인_구분 / 성별_코드 / 연령대_코드 / 유입지_시도_이름 / 유입지_시군구_이름 / 업종대분류_이름 / 시스템_최종적재_일시 / 기준년월일
TOU016,관광,21년 관광지 해수욕장 외국인 신용카드 신한카드21년_관광지_해수욕장_외국인_신용카드_신한카드,X,X,X,O,O,202101~202105,5,해수욕장_권역 / 국적 / 업종대분류_이름 / 시스템_최종적재_일시 / 기준년월일
SPN001,소비,"동백전 거래내역(일별, 2021)2021년 동백전 일별 거래내역",X,X,X,O,O,202104~202104,14,거래일자 / 카드사코드 / 전체금액 / 잔액 / 캐시백 / 정책수당 / 생년월일 / 성별 / 가맹점명 / 업종명 / 업종코드 / 주소 / 사업자번호 / 적재일자
SPN002,소비,동백전 승인거래 원장2022년 동백전 승인거래 원장,X,X,X,O,O,202204~202212,24,주문번호 / 거래일자 / 거래시간 / 승인번호 / 전송거래번호 / 원전송거래번호 / 지자체코드 / 카드사명칭 / 전체금액 / 구매형 / 지급형 / 캐시형 / 생년월일 / 성별 / CINO / 가맹점명 / 업종명 / 업종코드 / 주소 / 상세주소
SPN003,소비,전통시장 기본정보 코드전국 전통시장 기본 정보,O,O,O,O,O,202201~202201,9,시장 명칭 / 시장 유형 / 도로명 주소 / 구 주소 / 위도 / 경도 / 주소 / 기준년월 / 적재일자
SPN004,소비,가맹점 기본정보 코드가맹점 기본정보(동백전/NICE기업신용),X,X,O,O,O,202210~202210,14,"사업자번호 / 정보출처(동백전, 기업신용) / 가맹점명 / 업종코드 / 업종명 / 주소 / 상세주소 / 행정동명 / 행정동코드 / 집계구코드 / 위도 / 경도 / 기준년월 / 적재일자"
SPN005,소비,신한카드 카드소비(행정동·업종·성별·연령·시간대·일별) 신한카드 일별 카드소비 데이터(행정동·업종·성별·연령,X,X,X,O,O,201901~202112,13,기준년월 / 기준년월일 / 행정기관_코드 / 업종구분_대분류 / 업종구분_중분류 / 성별_코드 / 연령대_코드 / 시간대_코드 / 카드_이용금액 / 카드_이용건수 / 재난_지원금_이용금액 / 시스템_최종적재_일시 / 적재일자
SPN006,소비,신한카드 전통시장 카드소비(시장·업종·요일·시간대·일별)신한카드 일별 전통시장 카드소비 데이터(시장·업종·요,X,X,X,O,O,201901~202112,11,기준년월 / 기준년월일 / 전통시장_코드 / 업종구분_대분류 / 업종구분_중분류 / 요일_코드 / 시간대_코드 / 카드_이용금액 / 카드_이용건수 / 시스템_최종적재_일시 / 적재일자
SPN007,소비,신한카드 폐업가맹점 매출(행정동·업종·사업자·월)신한카드 월별 폐업 가맹점 매출 데이터(행정동·업종·사업자별,X,X,X,O,O,201901~202012,11,기준년월 / 행정기관_코드 / 업종구분_대분류 / 업종구분_중분류 / 업종구분_소분류 / 운영기간 / 사업자_구분 / 카드_이용금액 / 카드_이용건수 / 시스템_최종적재_일시 / 적재일자
